endTime,artistName,trackName,msPlayed
2023-11-09 20:47,Rooler,DOMINATION - SEFA REMIX,126015
2023-11-09 20:48,Methtel Chris,Wonderful Nights,66250
2023-11-09 21:00,Klaus Veen,Keep on Jumping,100371
2023-11-10 08:40,Klaus Veen,Keep on Jumping,69401
2023-11-10 08:41,HCTM,Sudno (Hctm Techno Edit) - Remix,68571
2023-11-10 08:44,Krabi,Pomp De Tank,169388
2023-11-10 08:47,Vieze Asbak,STOTENPAAL,163208
2023-11-10 08:48,SWORRA,VODKA,60160
2023-11-10 08:49,Natte Visstick,VISSTICK ANTHEM P.1,114475
2023-11-10 08:52,Klaus Veen,Het Stoute Blik,142852
2023-11-10 08:53,Vieze Asbak,donker zwart en liefde en duisternis,20428
2023-11-10 08:53,dj.Neyt,Reborn,64187
2023-11-10 08:56,Malok,DCLX,144642
2023-11-10 08:57,SWORRA,ABSOLUT VODKA,62511
2023-11-10 08:57,Natte Visstick,Kk Dikke Natte Visstick,30909
2023-11-10 09:00,beans.,nanana (it goes like),151200
2023-11-10 09:01,beans.,daylight,105600
2023-11-10 09:03,Toby Mai,nobody,113142
2023-11-10 09:07,Toby Mai,Cities,196000
2023-11-10 09:09,Dennis Lloyd,Not Around Me,154624
2023-11-10 09:13,Phace,PLAISIR PLAISIR,260930
2023-11-10 09:18,Youngr,Jesus Gave Me $10,260095
2023-11-10 09:19,Hippie Sabotage,Trailblazer,102959
2023-11-10 09:20,Naked Cameo,Run The Mill,2213
2023-11-10 09:20,Naked Cameo,World To Waste,40397
2023-11-10 09:24,Naked Cameo,Up Is Down,155167
2023-11-10 09:27,Naked Cameo,Shangri La,176345
2023-11-10 09:29,Naked Cameo,Run The Mill,130527
2023-11-10 09:31,Naked Cameo,Hard Feelings,156987
2023-11-10 09:32,Naked Cameo,Salt In The Wind,51182
2023-11-10 09:35,Naked Cameo,Point Nemo,165228
2023-11-10 09:37,Naked Cameo,Trespassing By,146872
2023-11-10 09:40,Naked Cameo,Saturday,158140
2023-11-10 09:43,Naked Cameo,No One Knows Me,150357
2023-11-10 09:44,Naked Cameo,Up Is Down (Reprise),93893
2023-11-10 09:47,Naked Cameo,Still So Low,187794
2023-11-10 09:48,Naked Cameo,World To Waste,40397
2023-11-10 10:04,Naked Cameo,Up Is Down,9770
2023-11-10 11:52,Naked Cameo,Up Is Down,145433
2023-11-10 11:55,Naked Cameo,Shangri La,176345
2023-11-10 11:57,Naked Cameo,Run The Mill,130527
2023-11-10 12:00,Naked Cameo,Hard Feelings,156987
2023-11-10 12:01,Naked Cameo,Salt In The Wind,51182
2023-11-10 12:04,Naked Cameo,Point Nemo,165228
2023-11-10 12:06,Naked Cameo,Trespassing By,146872
2023-11-10 12:09,Naked Cameo,Saturday,158140
2023-11-10 12:11,Naked Cameo,No One Knows Me,150357
2023-11-10 12:13,Naked Cameo,Up Is Down (Reprise),93893
2023-11-10 12:17,Naked Cameo,Still So Low,187794
2023-11-10 12:17,Naked Cameo,World To Waste,40397
2023-11-10 12:21,Naked Cameo,Up Is Down,155167
2023-11-10 12:24,Naked Cameo,Shangri La,176345
2023-11-10 12:26,Naked Cameo,Run The Mill,130527
2023-11-10 12:28,Naked Cameo,Hard Feelings,156987
2023-11-10 12:29,Naked Cameo,Salt In The Wind,51182
2023-11-10 12:32,Naked Cameo,Point Nemo,165228
2023-11-10 12:36,Naked Cameo,Trespassing By,146872
2023-11-10 12:39,Naked Cameo,Saturday,158140
2023-11-10 12:41,Naked Cameo,No One Knows Me,150357
2023-11-10 12:43,Naked Cameo,Up Is Down (Reprise),93893
2023-11-10 12:47,Naked Cameo,Still So Low,187794
2023-11-10 12:48,Naked Cameo,World To Waste,40397
2023-11-10 12:51,Naked Cameo,Up Is Down,155167
2023-11-10 12:54,Naked Cameo,Shangri La,176345
2023-11-10 12:56,Naked Cameo,Run The Mill,130527
2023-11-10 12:58,Naked Cameo,Hard Feelings,156987
2023-11-10 13:00,Naked Cameo,Salt In The Wind,51182
2023-11-10 13:07,Naked Cameo,Point Nemo,165228
2023-11-10 13:09,Naked Cameo,Trespassing By,146872
2023-11-10 13:12,Naked Cameo,Saturday,158140
2023-11-10 13:14,Naked Cameo,No One Knows Me,150357
2023-11-10 13:15,Naked Cameo,Up Is Down (Reprise),37171
2023-11-10 13:18,Armin van Buuren,Mr. Navigator - Ran-D Remix,194072
2023-11-10 13:21,Ran-D,Dance With The Devil - Kick Edit,161115
2023-11-10 13:24,Unresolved,Addicted,175207
2023-11-10 13:28,Aftershock,Source Of Fire (Hardshift Anthem 2023),246209
2023-11-10 13:29,hariqot,okay,62117
2023-11-10 13:33,Naked Cameo,Still So Low,17583
2023-11-10 13:33,Sophie Lloyd,Judge And Jury (feat. Tyler Connolly),211410
2023-11-10 13:44,Hippie Sabotage,Boy Problems,297213
2023-11-10 13:48,Roland Cristal,Voyage en Europe - STTRBSTN & Qriminal Remix,211500
2023-11-10 13:51,Emmit Fenn,I Want To Fly Away - VisionV Remix,171660
2023-11-10 13:55,Atmozfears,Voices Calling - Extended Mix,240906
2023-11-10 13:55,AJR,Touchy Feely Fool,34787
2023-11-10 13:59,Jai Wolf,Don't Look Down (feat. BANKS) [Mild Minds Remix],210240
2023-11-10 14:02,TNT,SET ME FREE,192183
2023-11-10 14:05,Showtek,Simulation,166138
2023-11-10 14:16,HYPERAVE,I WAS MADE FOR LOVIN' YOU - HYPERTECHNO,84198
2023-11-11 12:01,HYPERAVE,I WAS MADE FOR LOVIN' YOU - HYPERTECHNO,4537
2023-11-11 12:01,Naked Cameo,World To Waste,40397
2023-11-11 12:04,Naked Cameo,Up Is Down,155167
2023-11-11 12:07,Naked Cameo,Shangri La,176345
2023-11-11 12:09,Naked Cameo,Run The Mill,130527
2023-11-11 12:12,Naked Cameo,Salt In The Wind,51182
2023-11-11 12:12,Naked Cameo,Hard Feelings,156987
2023-11-11 12:15,Naked Cameo,Point Nemo,165228
2023-11-11 12:18,Naked Cameo,Trespassing By,146872
2023-11-11 12:20,Naked Cameo,Saturday,158140
2023-11-11 12:23,Naked Cameo,No One Knows Me,150357
2023-11-11 12:24,Naked Cameo,Up Is Down (Reprise),93893
2023-11-11 12:28,Naked Cameo,Still So Low,187793
2023-11-11 12:28,Naked Cameo,World To Waste,40397
2023-11-11 12:30,Naked Cameo,Up Is Down,81451
2023-11-11 12:35,Naked Cameo,Up Is Down,73945
2023-11-11 12:38,Naked Cameo,Shangri La,176345
2023-11-11 12:40,Naked Cameo,Run The Mill,130527
2023-11-11 12:43,Naked Cameo,Hard Feelings,156987
2023-11-11 12:44,Naked Cameo,Salt In The Wind,51182
2023-11-11 12:46,Naked Cameo,Point Nemo,165228
2023-11-11 12:49,Naked Cameo,Trespassing By,146872
2023-11-11 12:51,Naked Cameo,Saturday,158140
2023-11-11 12:54,Naked Cameo,No One Knows Me,150357
2023-11-11 12:55,Naked Cameo,Up Is Down (Reprise),93893
2023-11-11 13:09,Naked Cameo,Still So Low,179560
2023-11-11 14:58,Naked Cameo,Still So Low,8408
2023-11-11 14:59,Naked Cameo,World To Waste,40397
2023-11-11 15:00,Naked Cameo,Up Is Down,61554
2023-11-11 15:02,Vieze Asbak,Victory Techno,124718
2023-11-11 15:03,Tic-Tekk-Toe,High Enough,108956
2023-11-11 15:04,Klaus Veen,Ga Maar Vast,60703
2023-11-11 15:06,moduz,funky beat,81987
2023-11-11 15:07,Dutch Hour,Flying Whale - NeuroBeatz Remix,80039
2023-11-11 15:10,Vieze Asbak,Pump This Party,145840
2023-11-11 15:11,SWORRA,POLIAKOV,70635
2023-11-11 15:12,Tic-Tekk-Toe,Mine,93264
2023-11-11 15:13,Klaus Veen,Kolencentrale,64157
2023-11-11 15:14,Klaus Veen,Kolencentrale,7292
2023-11-11 15:43,Klaus Veen,Kolencentrale,59832
2023-11-11 15:46,Natte Visstick,Samson & Ket - Vieze Asbak Remix,146575
2023-11-11 15:58,Vieze Asbak,Bungelrave,14552
2023-11-11 16:40,Vieze Asbak,Bungelrave,101205
2023-11-11 16:41,Dutch Hour,Scintilla - NeuroBeatz Remix,63813
2023-11-11 16:44,Rooler,LOVE U BABY,155070
2023-11-11 16:45,Tic-Tekk-Toe,Om Namaha Shiva,80905
2023-11-11 16:46,Klaus Veen,Euforische Ludes,63877
2023-11-11 16:49,Vieze Asbak,SPIJKERBOM,147946
2023-11-11 16:49,Vieze Asbak,SPIJKERBOM,3240
2023-11-11 18:43,Vieze Asbak,SPIJKERBOM,18242
2023-11-11 18:46,Coone,Return Of The Return,175874
2023-11-11 18:48,Natte Visstick,Samson & Ket - Vieze Asbak Remix,146575
2023-11-11 18:50,Dutch Hour,Flying Whale - NeuroBeatz Remix,80039
2023-11-11 18:52,Rooler,LOVE U BABY,155070
2023-11-11 19:04,Vieze Asbak,Ameno,58477
2023-11-12 13:30,Vieze Asbak,Ameno,89173
2023-11-12 13:30,Natte Visstick,Samson & Ket - Vieze Asbak Remix,15393
2023-11-12 13:32,Natte Visstick,fucking doorweekte tering visstick uit de magnetron van je oma,113606
2023-11-12 13:33,SWORRA,POLIAKOV,70635
2023-11-12 13:35,Malok,PUMP IT UP,13654
2023-11-12 13:35,Vieze Asbak,Victory Techno,124718
2023-11-12 13:53,Malok,PUMP IT UP,127393
2023-11-12 13:57,Rooler,DISCOTEK,218730
2023-11-12 14:00,Klaus Veen,Nooit Meer Naar Huis,188035
2023-11-13 09:16,Rooler,LET THE BASS KICK,2614
2023-11-13 09:16,Klaus Veen,Nooit Meer Naar Huis,2463
2023-11-13 09:16,Vieze Asbak,Bungelrave,13897
2023-11-13 09:26,Koni053,Push It,269419
2023-11-13 09:30,Nuxe Madrevo,are we lovers now,233112
2023-11-13 09:31,BREMEYER,Lay All Your Love On Me - Techno Mix,114938
2023-11-13 09:36,Raik,ACID BALADE,301654
2023-11-13 09:38,Connor Gallagher,Clarity (Hardstyle),81835
2023-11-13 19:51,Natte Visstick,Samson & Ket - Vieze Asbak Remix,1680
2023-11-13 19:51,Klaus Veen,Ga Maar Vast,16425
2023-11-13 19:56,Fred again..,Marea (we’ve lost dancing),285375
2023-11-13 20:00,Fred again..,adore u,220653
2023-11-13 20:03,Fred again..,Me (heavy),183231
2023-11-13 20:08,Fred again..,Baby again..,319964
2023-11-13 20:12,Fred again..,Delilah (pull me out of this),250702
2023-11-13 20:13,Fred again..,Nathan (still breathing),31378
2023-11-13 20:13,Fred again..,Cmon,44658
2023-11-13 20:18,Fred again..,Faisal (envelops me),250291
2023-11-13 20:18,Fred again..,Secret,51951
2023-11-13 20:19,Fred again..,Enough,39573
2023-11-13 20:20,Fred again..,Clara (the night is dark),73040
2023-11-13 20:21,Basswell,Bass Down Low,16247
2023-11-13 20:26,OGUZ,GOLDEN SZN,294529
2023-11-13 20:30,GRAVEDGR,So Alive (VIP),253161
2023-11-13 20:34,Vieze Asbak,FC Horsepower,269827
2023-11-13 20:37,Sub Zero Project,We Ignite,183880
2023-11-13 20:43,Hard Driver,Enter the Void (Qlimax 2023 Anthem),327651
2023-11-13 20:46,OGUZ,DISTORTED,173578
2023-11-13 20:54,Snowy White,Midnight Blues,513360
2023-11-13 20:57,The Opposites,Licht Uit,190680
2023-11-13 21:01,The Opposites,Slapeloze Nachten,229160
2023-11-13 21:06,OGUZ,PLATINUM SZN,268821
2023-11-13 21:06,OGUZ,GOLDEN SZN (The Teacher Edit),43265
2023-11-13 21:07,Britney Spears,Toxic,719
